,model_name,runtime,load,params
248,GC,220.26848718197527,0.9765625,"(249,)"
249,GC,220.78442421590316,0.98046875,"(250,)"
250,GC,221.30036124983107,0.984375,"(251,)"
251,GC,221.816298283759,0.98828125,"(252,)"
252,GC,222.33223531768687,0.9921875,"(253,)"
253,GC,222.84817235161478,0.99609375,"(254,)"
254,GC,223.36410938554266,1.0,"(255,)"
255,GC,223.8800464194706,1.00390625,"(256,)"
256,SRSGC,92.3161027678558,0.0078125,"(1, 2, 1)"
257,SRSGC,92.3161027678558,0.0078125,"(1, 3, 1)"
258,SRSGC,92.3161027678558,0.0078125,"(1, 4, 1)"
259,SRSGC,92.3161027678558,0.0078125,"(1, 5, 1)"
260,SRSGC,92.3161027678558,0.0078125,"(1, 6, 1)"
261,SRSGC,92.3161027678558,0.0078125,"(1, 7, 1)"
262,SRSGC,92.3161027678558,0.0078125,"(1, 8, 1)"
263,SRSGC,92.3161027678558,0.0078125,"(1, 9, 1)"
264,SRSGC,92.3161027678558,0.0078125,"(1, 10, 1)"
265,SRSGC,92.3161027678558,0.0078125,"(1, 11, 1)"
266,SRSGC,92.3161027678558,0.0078125,"(1, 12, 1)"
267,SRSGC,92.3161027678558,0.0078125,"(1, 13, 1)"
268,SRSGC,92.3161027678558,0.0078125,"(1, 14, 1)"
